   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
 -3.17897   0.51642    -0.47374     0.03537      -0.03746
 -3.15394   0.54621    -0.48570     0.03957      -0.03426
 -3.12891   0.58212    -0.49255     0.04483      -0.03324
 -3.10388   0.63689    -0.49705     0.05119      -0.03407
 -3.07885   0.72943    -0.51320     0.05887      -0.03667
 -3.05382   0.87390    -0.56126     0.06773      -0.04110
 -3.02879   1.06749    -0.65792     0.07697      -0.04698
 -3.00375   1.28552    -0.80731     0.08523      -0.05375
 -2.97872   1.48816    -0.99731     0.09129      -0.06057
 -2.95369   1.63547    -1.20262     0.09432      -0.06674
 -2.92866   1.70198    -1.39236     0.09419      -0.07173
 -2.90363   1.68368    -1.53810     0.09139      -0.07510
 -2.87860   1.59699    -1.62032     0.08634      -0.07641
 -2.85357   1.47361    -1.63355     0.07995      -0.07537
 -2.82854   1.35311    -1.58973     0.07342      -0.07220
 -2.80350   1.27278    -1.51675     0.06815      -0.06782
 -2.77847   1.25567    -1.44903     0.06537      -0.06365
 -2.75344   1.30290    -1.41333     0.06557      -0.06092
 -2.72841   1.39673    -1.41927     0.06840      -0.06030
 -2.70338   1.51201    -1.46147     0.07294      -0.06151
 -2.67835   1.62607    -1.52995     0.07807      -0.06415
 -2.65332   1.71940    -1.61624     0.08278      -0.06761
